PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,
1,Napheesa Collier,MIN,28,25,21,4,828,594,218,406,53.7,33,92,35.9,125,138,90.6,51,142,193,85,56,44,42,63,1077,5,0,267
2,Kelsey Mitchell,IND,29,28,16,12,863,556,203,437,46.5,66,173,38.2,84,110,76.4,9,43,52,79,38,24,5,56,811,0,0,130
3,Kelsey Plum,LAS,30,26,12,14,928,527,158,386,40.9,65,180,36.1,146,159,91.8,4,81,85,157,85,36,3,81,912,1,0,-47
4,Allisha Gray,ATL,30,28,17,11,988,521,162,367,44.1,71,175,40.6,126,156,80.8,25,128,153,108,53,32,11,77,939,1,0,167
5,Sabrina Ionescu,NYL,27,26,17,9,820,516,169,418,40.4,65,207,31.4,113,122,92.6,20,102,122,147,71,39,12,39,952,0,0,116
6,A'ja Wilson,LVA,28,23,13,10,699,509,179,363,49.3,8,31,25.8,143,171,83.6,38,172,210,79,55,38,56,47,994,11,0,101
7,Nneka Ogwumike,SEA,35,28,16,12,862,507,205,393,52.2,36,103,35,61,72,84.7,37,166,203,63,52,32,16,57,905,5,0,137
8,Dearica Hamby,LAS,31,27,12,15,873,475,187,335,55.8,11,38,28.9,90,156,57.7,74,145,219,91,76,46,14,77,916,9,0,21
9,Jackie Young,LVA,27,27,14,13,805,458,156,348,44.8,43,134,32.1,103,112,92,33,82,115,121,64,33,9,72,821,1,1,64
9,Skylar Diggins,SEA,35,27,16,11,863,458,154,360,42.8,42,104,40.4,108,137,78.8,13,63,76,158,63,29,22,67,836,2,1,163
11,Breanna Stewart,NYL,30,24,17,7,756,440,153,326,46.9,14,68,20.6,120,145,82.8,23,134,157,93,51,34,33,46,838,5,0,153
12,Aliyah Boston,IND,23,28,16,12,844,434,172,316,54.4,5,22,22.7,85,106,80.2,63,167,230,107,50,25,28,96,882,13,0,128
13,Paige Bueckers,DAL,23,23,7,16,792,425,157,346,45.4,28,82,34.1,83,96,86.5,16,74,90,126,48,42,14,56,781,1,0,-50
14,Tina Charles,CON,36,26,5,21,739,418,149,358,41.6,6,24,25,114,131,87,41,107,148,45,58,23,9,46,681,5,0,-296
15,Arike Ogunbowale,DAL,28,26,7,19,864,407,134,366,36.6,46,146,31.5,93,100,93,6,56,62,111,55,36,6,66,710,1,0,-96
16,Azurá Stevens,LAS,29,27,12,15,787,402,147,293,50.2,49,121,40.5,59,77,76.6,56,173,229,54,44,37,34,70,876,8,0,-76
17,Satou Sabally,PHX,27,23,13,10,616,396,128,334,38.3,37,131,28.2,103,127,81.1,32,121,153,55,48,30,9,76,719,2,0,113
18,Courtney Williams,MIN,31,28,23,5,808,387,156,370,42.2,41,106,38.7,34,41,82.9,15,125,140,178,63,41,9,54,846,1,0,217
19,Sonia Citron,WAS,21,27,13,14,884,385,130,284,45.8,43,115,37.4,82,92,89.1,19,110,129,60,51,31,12,59,703,3,0,-34
20,Brittney Sykes,WAS,31,24,11,13,747,379,117,308,38,21,66,31.8,124,157,79,12,71,83,105,66,28,8,65,660,0,0,25
21,Gabby Williams,SEA,28,28,16,12,917,360,140,319,43.9,38,119,31.9,42,49,85.7,17,112,129,127,58,73,13,41,826,2,0,160
22,Alyssa Thomas,PHX,33,22,14,8,690,357,147,280,52.5,0,4,0,63,91,69.2,40,144,184,197,78,31,11,51,822,13,1,71
23,Brionna Jones,ATL,29,28,17,11,783,354,139,271,51.3,9,36,25,67,89,75.3,80,126,206,68,45,28,20,69,733,8,0,120
24,Kayla McBride,MIN,33,24,19,5,761,346,112,266,42.1,63,164,38.4,59,63,93.7,6,54,60,78,41,28,2,33,607,0,0,217
25,Angel Reese,CHI,23,23,7,16,720,324,113,252,44.8,4,20,20,94,119,79,87,199,286,83,90,33,15,76,793,17,1,-199
26,Kiki Iriafen,WAS,21,27,13,14,716,320,121,260,46.5,0,2,0,78,103,75.7,71,156,227,37,52,17,3,89,624,8,0,6
27,Natasha Howard,IND,33,28,16,12,677,316,127,236,53.8,5,21,23.8,57,83,68.7,59,134,193,36,55,33,15,79,646,7,0,86
28,Rhyne Howard,ATL,25,19,12,7,670,314,99,285,34.7,56,185,30.3,60,75,80,21,74,95,86,37,31,18,62,649,0,0,90
29,Erica Wheeler,SEA,34,28,16,12,769,309,115,284,40.5,46,126,36.5,33,39,84.6,14,75,89,106,51,31,8,70,628,0,0,111
30,Chelsea Gray,LVA,32,27,14,13,816,308,103,242,42.6,39,109,35.8,63,69,91.3,18,89,107,123,83,33,19,54,681,1,0,22
30,Kayla Thornton,GSV,32,22,10,12,662,308,100,276,36.2,40,142,28.2,68,82,82.9,40,114,154,33,36,29,5,52,603,5,0,20
32,Rickea Jackson,LAS,24,22,11,11,683,305,116,274,42.3,25,89,28.1,48,59,81.4,19,53,72,44,51,14,9,45,492,0,0,-66
33,Shakira Austin,WAS,25,24,12,12,542,302,120,256,46.9,0,6,0,62,93,66.7,48,117,165,44,63,25,28,57,617,3,0,29
34,Veronica Burton,GSV,25,27,14,13,778,295,80,221,36.2,36,104,34.6,99,113,87.6,34,83,117,142,57,28,13,63,672,2,0,48
35,Ariel Atkins,CHI,29,21,7,14,624,292,102,240,42.5,28,79,35.4,60,70,85.7,14,52,66,74,52,39,18,66,574,0,0,-124
36,Jewell Loyd,LVA,31,27,14,13,780,289,98,265,37,52,146,35.6,41,48,85.4,38,67,105,50,34,25,3,56,552,0,0,-18
37,Kamilla Cardoso,CHI,24,23,6,17,585,288,116,223,52,1,1,100,55,76,72.4,68,116,184,37,55,8,17,68,560,6,0,-161
38,Brittney Griner,ATL,34,25,14,11,583,266,107,208,51.4,4,15,26.7,48,64,75,21,118,139,21,43,2,28,54,490,1,0,7
39,Sami Whitcomb,PHX,37,26,15,11,671,265,90,226,39.8,54,156,34.6,31,37,83.8,12,64,76,74,40,21,5,53,521,0,0,18
40,Natasha Cloud,NYL,33,26,16,10,753,262,92,217,42.4,32,96,33.3,46,50,92,10,82,92,153,44,36,9,82,629,0,0,132
41,Alanna Smith,MIN,28,27,22,5,718,259,103,212,48.6,34,107,31.8,19,44,43.2,43,101,144,76,41,31,56,76,687,1,0,154
41,Rachel Banham,CHI,32,27,7,20,628,259,84,208,40.4,58,152,38.2,33,35,94.3,4,34,38,67,40,16,5,54,464,0,0,-152
43,Bria Hartley,CON,32,26,5,21,593,246,74,210,35.2,40,109,36.7,58,70,82.9,6,47,53,78,47,22,0,66,461,0,0,-245
43,Marina Mabrey,CON,28,17,4,13,507,246,87,243,35.8,36,129,27.9,36,42,85.7,8,71,79,70,52,12,8,54,471,2,0,-173
45,Ezi Magbegor,SEA,25,28,16,12,769,235,94,192,49,5,29,17.2,42,62,67.7,61,119,180,61,25,21,64,79,651,0,0,101
45,Naz Hillmon,ATL,25,28,17,11,621,235,86,172,50,33,97,34,30,37,81.1,37,105,142,57,27,12,13,47,517,1,0,173
47,Jordin Canada,ATL,29,20,11,9,567,229,77,197,39.1,19,65,29.2,56,73,76.7,6,65,71,114,43,30,5,31,503,0,0,93
48,Tiffany Hayes,GSV,35,19,9,10,499,228,75,175,42.9,34,77,44.2,44,52,84.6,11,56,67,56,38,9,3,40,409,0,0,29
49,Olivia Nelson-Ododa,CON,24,25,5,20,579,222,82,161,50.9,0,1,0,58,79,73.4,45,96,141,22,31,18,35,66,491,2,0,-184
50,Elizabeth Williams,CHI,32,27,7,20,545,217,94,197,47.7,0,0,0,29,53,54.7,39,75,114,46,32,18,24,44,461,0,0,-119
51,Caitlin Clark,IND,23,13,8,5,404,214,72,196,36.7,29,104,27.9,41,50,82,1,64,65,115,66,21,7,35,479,5,1,83
52,Monique Akoa Makani,PHX,24,25,16,9,529,211,75,165,45.5,33,75,44,28,30,93.3,16,33,49,66,36,23,2,66,409,0,0,110
53,NaLyssa Smith,LVA,24,29,11,18,585,210,80,173,46.2,3,15,20,47,76,61.8,54,99,153,22,31,16,22,83,464,2,0,-80
54,DiJonai Carrington,DAL,27,20,5,15,497,208,74,209,35.4,13,50,26,47,57,82.5,41,60,101,36,49,21,9,51,418,0,0,-139
54,Natisha Hiedeman,MIN,28,28,23,5,497,208,80,177,45.2,20,74,27,28,37,75.7,5,47,52,80,31,13,4,48,394,0,0,139
56,Jonquel Jones,NYL,31,15,10,5,378,205,68,151,45,25,58,43.1,44,55,80,25,109,134,36,27,6,17,36,446,7,0,121
57,Kennedy Burke,NYL,28,24,17,7,524,202,70,141,49.6,38,80,47.5,24,32,75,14,41,55,29,24,26,15,31,406,0,0,59
58,Jacy Sheldon,CON,24,26,5,21,637,200,75,158,47.5,34,80,42.5,16,18,88.9,20,30,50,52,30,23,6,64,394,0,0,-247
58,Kia Nurse,CHI,29,27,7,20,640,200,68,190,35.8,40,117,34.2,24,30,80,15,58,73,35,32,10,2,51,372,0,0,-216
60,Lexie Hull,IND,25,28,16,12,729,198,74,176,42,33,81,40.7,17,27,63,38,82,120,47,25,30,5,76,468,1,0,96
61,Aziaha James,DAL,22,25,8,17,468,197,68,179,38,24,74,32.4,37,48,77.1,22,47,69,42,26,15,7,31,376,0,0,-66
62,Bridget Carleton,MIN,28,28,23,5,810,194,70,177,39.5,40,114,35.1,14,19,73.7,27,80,107,66,23,27,8,58,477,0,0,241
62,Sug Sutton,WAS,26,26,13,13,651,194,71,158,44.9,29,71,40.8,23,32,71.9,6,38,44,84,41,24,3,33,405,0,0,44
64,Janelle Salaün,GSV,23,19,9,10,473,192,71,190,37.4,26,83,31.3,24,30,80,17,75,92,21,27,10,3,41,357,1,0,6
65,Marine Johannès,NYL,30,27,17,10,504,185,66,150,44,44,118,37.3,9,11,81.8,10,46,56,39,35,18,7,29,374,0,0,92
65,Saniya Rivers,CON,22,24,5,19,622,185,70,187,37.4,16,63,25.4,29,41,70.7,18,55,73,67,36,38,22,42,461,0,0,-170
67,JJ Quinerly,DAL,22,27,8,19,424,180,65,157,41.4,15,42,35.7,35,41,85.4,16,38,54,64,37,22,6,58,369,0,0,-32
68,Dana Evans,LVA,27,27,14,13,478,179,64,170,37.6,19,58,32.8,32,43,74.4,5,24,29,52,21,13,3,35,311,0,0,-42
69,Kitija Laksa,PHX,29,26,15,11,555,178,62,166,37.3,36,110,32.7,18,24,75,10,24,34,19,15,11,4,40,297,0,0,-34
70,Sophie Cunningham,IND,28,23,13,10,570,176,56,124,45.2,33,84,39.3,31,36,86.1,14,75,89,19,26,23,3,50,369,1,0,42
71,Leonie Fiebich,NYL,25,20,15,5,560,175,61,118,51.7,28,65,43.1,25,29,86.2,11,69,80,27,29,19,13,50,374,0,0,131
71,Temi Fágbénlé,GSV,32,22,11,11,528,175,76,148,51.4,7,35,20,16,25,64,46,71,117,41,31,22,13,69,410,2,0,-39
73,Kahleah Copper,PHX,30,11,5,6,274,171,55,126,43.7,20,47,42.6,41,49,83.7,4,27,31,16,29,13,1,32,266,0,0,0
73,Rebecca Allen,CHI,32,27,7,20,571,171,62,170,36.5,33,96,34.4,14,23,60.9,11,72,83,45,32,16,15,43,394,0,0,-147
75,Kate Martin,GSV,25,25,13,12,420,170,56,165,33.9,36,107,33.6,22,28,78.6,5,57,62,21,27,10,4,28,317,0,0,-16
76,Aari McDonald,IND,26,17,11,6,439,168,54,126,42.9,21,63,33.3,39,48,81.3,7,29,36,76,39,23,2,41,351,0,0,46
77,Myisha Hines-Allen,DAL,30,26,7,19,536,166,64,136,47.1,9,29,31,29,41,70.7,29,104,133,71,59,23,12,68,449,1,0,-69
78,Kathryn Westbeld,PHX,29,26,16,10,562,165,59,158,37.3,31,95,32.6,16,20,80,19,57,76,32,16,27,19,51,396,0,0,61
79,Jessica Shepard,MIN,28,24,20,4,442,164,66,111,59.5,0,1,0,32,54,59.3,52,102,154,57,34,9,2,32,397,3,0,106
80,Jade Melbourne,WAS,22,26,13,13,607,163,57,145,39.3,22,66,33.3,27,45,60,10,42,52,69,40,17,3,64,346,0,0,-98
81,Aneesah Morrow,CON,22,23,5,18,368,162,58,151,38.4,9,36,25,37,47,78.7,40,88,128,13,28,16,8,48,360,2,0,-73
82,Monique Billings,GSV,29,21,10,11,373,158,61,123,49.6,8,28,28.6,28,44,63.6,31,68,99,9,17,13,16,36,332,1,0,-1
83,Li Yueru,DAL,26,26,12,14,439,157,52,121,43,15,37,40.5,38,44,86.4,45,77,122,22,27,7,7,52,344,3,0,-3
84,Carla Leite,GSV,21,21,11,10,350,151,50,128,39.1,8,52,15.4,43,50,86,7,23,30,39,34,13,3,34,260,0,0,29
85,DeWanna Bonner,PHX,37,17,7,10,388,144,44,112,39.3,17,48,35.4,39,47,83,10,59,69,23,14,15,3,22,289,1,0,-58
86,Te-Hina Paopao,ATL,22,27,16,11,349,140,53,110,48.2,28,63,44.4,6,11,54.5,6,35,41,49,22,7,2,29,276,0,0,47
87,Lexi Held,PHX,25,19,11,8,352,137,48,127,37.8,23,73,31.5,18,22,81.8,9,19,28,25,21,22,5,27,267,0,0,-5
88,Luisa Geiselsöder,DAL,25,18,4,14,409,136,57,117,48.7,18,53,34,4,5,80,18,70,88,24,15,14,15,40,324,1,0,-88
89,Dominique Malonga,SEA,19,27,15,12,282,135,60,124,48.4,1,9,11.1,14,21,66.7,28,71,99,19,32,7,11,46,290,1,0,-67
90,Aaliyah Nye,LVA,22,27,14,13,475,132,46,119,38.7,28,78,35.9,12,15,80,9,34,43,13,20,10,5,44,246,0,0,-29
91,Isabelle Harrison,NYL,31,24,14,10,266,123,49,94,52.1,2,9,22.2,23,32,71.9,22,44,66,16,18,16,1,32,241,0,0,-8
91,Maya Caldwell,ATL,26,26,15,11,425,123,47,121,38.8,21,67,31.3,8,12,66.7,22,43,65,42,22,21,6,35,305,0,0,26
93,Aaliyah Edwards,WAS,23,19,9,10,270,122,44,90,48.9,0,7,0,34,54,63,24,44,68,8,23,10,6,28,230,0,0,-46
93,Kalani Brown,PHX,28,22,13,9,294,122,50,78,64.1,2,7,28.6,20,25,80,29,63,92,14,20,7,14,37,272,1,0,-23
95,Odyssey Sims,LAS,33,12,4,8,354,118,40,96,41.7,12,34,35.3,26,34,76.5,6,29,35,42,17,10,1,27,229,0,0,-4
96,Damiris Dantas,IND,32,22,13,9,268,109,36,104,34.6,16,55,29.1,21,24,87.5,16,39,55,11,18,5,3,42,207,0,0,-20
97,Michaela Onyenwere,CHI,25,25,7,18,359,106,39,103,37.9,10,32,31.3,18,20,90,10,34,44,28,25,10,3,44,214,0,0,-47
98,Maddy Siegrist,DAL,25,11,1,10,263,103,42,97,43.3,7,30,23.3,12,22,54.5,28,29,57,5,4,4,5,21,190,1,0,-45
99,Cecilia Zandalasini,GSV,29,11,3,8,240,102,34,77,44.2,19,46,41.3,15,17,88.2,2,27,29,17,15,9,2,24,189,0,0,-17
99,Diamond Miller,MIN,24,25,21,4,243,102,30,63,47.6,14,26,53.8,28,33,84.8,4,18,22,15,20,8,4,38,177,0,0,-5
101,Nia Coffey,ATL,30,28,17,11,302,101,31,92,33.7,15,59,25.4,24,36,66.7,18,56,74,30,22,6,10,34,252,1,0,-9
101,Rebekah Gardner,NYL,35,26,16,10,324,101,36,75,48,12,29,41.4,17,20,85,20,29,49,14,12,14,5,42,214,0,0,20
103,Haley Jones,DAL,24,15,6,9,290,100,42,87,48.3,6,14,42.9,10,13,76.9,7,34,41,29,18,11,10,29,218,0,0,38
103,Laeticia Amihere,GSV,24,17,10,7,241,100,34,75,45.3,1,13,7.7,31,42,73.8,19,57,76,22,25,11,9,30,239,1,0,11
105,Alysha Clark,SEA,38,26,16,10,480,95,34,88,38.6,16,53,30.2,11,13,84.6,9,54,63,27,17,19,2,53,243,0,0,-45
105,Kaila Charles,GSV,27,18,6,12,286,95,31,83,37.3,11,32,34.4,22,27,81.5,26,47,73,20,16,9,4,34,225,0,0,28
105,Teaira McCowan,DAL,28,17,3,14,219,95,36,67,53.7,1,2,50,22,29,75.9,30,48,78,10,16,5,12,24,218,1,0,-41
108,Emma Cannon,LAS,36,20,7,13,206,93,32,62,51.6,14,35,40,15,23,65.2,11,26,37,7,15,9,1,36,171,0,0,-14
109,Tiffany Mitchell,SEA,30,24,12,12,365,91,28,76,36.8,7,23,30.4,28,40,70,10,26,36,10,18,11,6,42,178,0,0,-41
110,Hailey Van Lith,CHI,23,21,6,15,290,89,32,93,34.4,4,24,16.7,21,27,77.8,4,22,26,34,29,10,4,16,181,0,0,-52
111,Kierstan Bell,LVA,25,20,8,12,201,88,30,87,34.5,17,58,29.3,11,11,100,10,20,30,5,7,6,6,14,164,0,0,-17
111,Lucy Olsen,WAS,22,24,12,12,259,88,32,74,43.2,14,36,38.9,10,11,90.9,6,18,24,24,9,4,2,24,162,0,0,-49
111,Nyara Sabally,NYL,25,15,9,6,291,88,35,71,49.3,1,7,14.3,17,25,68,26,48,74,13,16,9,16,36,226,0,0,14
114,Julie Allemand,LAS,29,18,9,9,467,84,29,73,39.7,15,50,30,11,13,84.6,7,60,67,76,32,21,0,34,284,0,0,46
114,Leïla Lacan,CON,21,9,3,6,215,84,32,66,48.5,6,24,25,14,15,93.3,6,17,23,23,15,16,1,28,170,0,0,25
114,Stefanie Dolson,WAS,33,27,13,14,421,84,33,92,35.9,13,51,25.5,5,8,62.5,10,52,62,40,21,9,9,67,235,0,0,-55
117,Sarah Ashlee Barker,LAS,23,23,9,14,373,80,25,78,32.1,16,49,32.7,14,18,77.8,7,46,53,23,32,10,4,39,200,0,0,-70
117,Zia Cooke,SEA,24,24,14,10,250,80,27,78,34.6,13,34,38.2,13,19,68.4,6,7,13,13,21,9,1,26,139,0,0,-87
119,Stephanie Talbot,NYL,31,22,10,12,357,77,28,77,36.4,10,42,23.8,11,19,57.9,18,58,76,41,31,15,6,31,246,0,0,-4
120,Courtney Vandersloot,CHI,36,7,2,5,191,74,29,66,43.9,5,23,21.7,11,13,84.6,2,20,22,37,17,11,2,13,164,1,0,-72
120,Julie Vanloo,LAS,32,19,11,8,294,74,25,75,33.3,19,64,29.7,5,6,83.3,4,18,22,51,34,7,0,29,180,0,0,-89
120,Natasha Mack,PHX,27,17,10,7,287,74,31,53,58.5,0,3,0,12,21,57.1,32,61,93,16,9,22,24,32,275,0,0,48
123,Sydney Colson,IND,35,27,16,11,383,71,26,72,36.1,13,46,28.3,6,7,85.7,6,18,24,59,32,14,5,32,205,0,0,-6
124,Rae Burrell,LAS,25,11,8,3,169,65,24,52,46.2,6,17,35.3,11,19,57.9,4,18,22,10,8,4,2,17,115,0,0,14
125,Shatori Walker-Kimbrough,ATL,30,28,17,11,303,64,24,55,43.6,10,28,35.7,6,9,66.7,3,22,25,17,13,9,9,23,152,0,0,19
126,Emily Engstler,WAS,25,23,11,12,254,63,22,58,37.9,7,31,22.6,12,18,66.7,25,48,73,29,20,10,13,26,218,0,0,0
126,Maria Kliundikova,MIN,27,18,14,4,161,63,25,52,48.1,4,11,36.4,9,14,64.3,21,25,46,9,10,12,16,21,178,0,0,40
128,Haley Peters,CON,32,23,4,19,310,57,22,65,33.8,5,29,17.2,8,11,72.7,17,37,54,21,19,9,3,40,161,0,0,-85
129,Chloe Bibby,IND,27,8,7,1,95,56,17,39,43.6,14,30,46.7,8,9,88.9,4,12,16,5,2,5,1,8,103,0,0,44
130,Makayla Timpson,IND,22,19,12,7,145,54,22,42,52.4,0,0,0,10,16,62.5,14,28,42,1,5,10,5,18,127,0,0,33
131,Karlie Samuelson,MIN,30,16,14,2,228,53,14,42,33.3,12,34,35.3,13,14,92.9,3,17,20,17,11,6,1,26,116,0,0,65
132,Iliana Rupert,GSV,24,5,4,1,111,47,16,33,48.5,12,21,57.1,3,3,100,8,13,21,5,8,5,1,14,97,0,0,-2
133,Lexie Brown,SEA,30,19,12,7,190,44,14,41,34.1,9,32,28.1,7,10,70,2,13,15,16,6,8,0,18,100,0,0,-19
134,Lindsay Allen,CON,30,19,2,17,254,41,15,40,37.5,2,12,16.7,9,11,81.8,0,13,13,41,21,6,4,20,117,0,0,-87
135,Murjanatu Musa,PHX,25,12,9,3,122,40,16,35,45.7,1,2,50,7,11,63.6,18,13,31,7,7,4,2,17,91,0,0,-48
136,Kaitlyn Chen,GSV,23,13,7,6,179,39,15,31,48.4,4,11,36.4,5,7,71.4,3,11,14,16,13,4,0,14,81,0,0,0
136,Kiah Stokes,LVA,32,26,13,13,427,39,16,46,34.8,2,19,10.5,5,8,62.5,25,99,124,15,15,14,11,41,230,0,0,-58
138,Liatu King,DAL,23,14,5,9,136,38,13,27,48.1,1,6,16.7,11,15,73.3,12,17,29,4,11,2,0,14,76,0,0,-14
